Survived,Pclass,Sex,Age,SibSp,Parch,Fare,is_Alone,Embarked,Fare_bin,Cabin_location,Family_size,Title,age_bin
1.0,3,0,27.0,0,0,7.2292,1,C,cheap,n,single,Mr,adult
0.0,3,0,21.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,3,1,18.0,2,0,18.0,0,S,medium,n,medium,Miss,young
1.0,3,1,14.0,1,0,11.2417,0,C,medium,n,medium,Miss,young
0.0,3,1,40.0,1,0,9.475,0,S,medium,n,medium,Mrs,adult
0.0,2,1,27.0,1,0,21.0,0,S,medium,n,medium,Mrs,adult
0.0,3,0,27.0,0,0,7.8958,1,C,cheap,n,single,Mr,adult
1.0,2,1,3.0,1,2,41.5792,0,C,high,n,large,Miss,baby
1.0,3,1,19.0,0,0,7.8792,1,Q,cheap,n,single,Miss,young
0.0,3,0,27.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,3,0,40.0,1,0,15.5,0,Q,medium,n,medium,Mr,adult
1.0,3,1,24.0,0,0,7.75,1,Q,cheap,n,single,Miss,adult
0.0,3,0,17.0,2,0,21.6792,0,C,medium,n,medium,Mr,young
0.0,3,1,18.0,1,0,17.8,0,S,medium,n,medium,Mrs,young
0.0,3,0,7.0,4,1,39.6875,0,S,high,n,large,Master,baby
0.0,3,0,21.0,0,0,7.8,1,S,cheap,n,single,Mr,adult
1.0,1,1,49.0,1,0,76.7292,0,C,very_high,D,medium,Mrs,adult
1.0,2,1,29.0,1,0,26.0,0,S,medium,n,medium,Mrs,adult
0.0,1,0,65.0,0,1,61.9792,0,C,high,B,medium,Mr,elderly
1.0,1,0,43.0,0,0,35.5,1,S,high,C,single,Mr,adult
1.0,2,1,21.0,0,0,10.5,1,S,medium,n,single,Miss,adult
0.0,3,0,28.0,0,0,7.2292,1,C,cheap,n,single,Mr,adult
1.0,2,1,5.0,1,2,27.75,0,S,medium,n,large,Miss,baby
0.0,3,0,11.0,5,2,46.9,0,S,high,n,large,Master,young
0.0,3,0,22.0,0,0,7.2292,1,C,cheap,n,single,Mr,adult
1.0,1,1,38.0,0,0,80.0,1,C,very_high,B,single,Miss,adult
0.0,1,0,45.0,1,0,83.475,0,S,very_high,C,medium,Mr,adult
0.0,3,0,4.0,3,2,27.9,0,S,medium,n,large,Master,baby
0.0,1,0,38.0,0,0,27.7208,1,C,medium,n,single,Mr,adult
1.0,3,0,17.0,1,1,15.2458,0,C,medium,n,medium,Master,young
1.0,2,1,29.0,0,0,10.5,1,S,medium,F,single,Mrs,adult
0.0,3,0,19.0,0,0,8.1583,1,S,medium,n,single,Mr,young
1.0,3,1,17.0,4,2,7.925,0,S,cheap,n,large,Miss,young
0.0,3,0,26.0,2,0,8.6625,0,S,medium,n,medium,Mr,adult
0.0,2,0,32.0,0,0,10.5,1,S,medium,n,single,Mr,adult
0.0,3,1,16.0,5,2,46.9,0,S,high,n,large,Miss,young
0.0,2,0,21.0,0,0,73.5,1,S,very_high,n,single,Mr,adult
0.0,3,0,26.0,1,0,14.4542,0,C,medium,n,medium,Mr,adult
1.0,3,0,32.0,0,0,56.4958,1,S,high,n,single,Mr,adult
0.0,3,0,25.0,0,0,7.65,1,S,cheap,F,single,Mr,adult
0.0,3,0,29.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
0.0,3,0,27.0,0,0,8.05,1,S,medium,n,single,Mr,adult
1.0,2,0,1.0,0,2,29.0,0,S,medium,n,medium,Master,baby
1.0,3,1,30.0,0,0,12.475,1,S,medium,n,single,Miss,adult
0.0,3,0,22.0,0,0,9.0,1,S,medium,n,single,Mr,adult
1.0,3,0,29.0,0,0,9.5,1,S,medium,n,single,Mr,adult
1.0,3,1,24.0,0,0,7.7875,1,Q,cheap,n,single,Miss,adult
0.0,1,0,28.0,0,0,47.1,1,S,high,n,single,Mr,adult
1.0,2,1,17.0,0,0,10.5,1,S,medium,n,single,Miss,young
1.0,3,1,33.0,3,0,15.85,0,S,medium,n,large,Mrs,adult
0.0,3,0,16.0,1,3,34.375,0,S,high,n,large,Mr,young
0.0,3,0,27.0,0,0,8.05,1,S,medium,n,single,Mr,adult
1.0,1,1,23.0,3,2,263.0,0,S,very_high,C,large,Miss,adult
0.0,3,0,24.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,3,0,29.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,3,0,20.0,0,0,7.8542,1,S,cheap,n,single,Mr,young
0.0,1,0,46.0,1,0,61.175,0,S,high,E,medium,Mr,adult
0.0,3,0,26.0,1,2,20.575,0,S,medium,n,large,Mr,adult
0.0,3,0,59.0,0,0,7.25,1,S,cheap,n,single,Mr,elderly
0.0,3,0,27.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,1,0,71.0,0,0,34.6542,1,C,high,A,single,Mr,elderly
1.0,1,0,23.0,0,1,63.3583,0,C,high,D,medium,Mr,adult
1.0,2,1,34.0,0,1,23.0,0,S,medium,n,medium,Mrs,adult
0.0,2,0,34.0,1,0,26.0,0,S,medium,n,medium,Mr,adult
0.0,3,1,28.0,0,0,7.8958,1,S,cheap,n,single,Miss,adult
0.0,3,0,29.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
0.0,1,0,21.0,0,1,77.2875,0,S,very_high,D,medium,Mr,adult
0.0,3,0,33.0,0,0,8.6542,1,S,medium,n,single,Mr,adult
0.0,3,0,37.0,2,0,7.925,0,S,cheap,n,medium,Mr,adult
0.0,3,0,28.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
1.0,3,1,21.0,0,0,7.65,1,S,cheap,n,single,Miss,adult
1.0,3,0,29.0,0,0,7.775,1,S,cheap,n,single,Mr,adult
0.0,3,0,38.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
1.0,3,1,32.0,1,0,24.15,0,Q,medium,n,medium,Miss,adult
0.0,1,0,47.0,0,0,52.0,1,S,high,C,single,Mr,adult
0.0,3,1,14.0,1,0,14.4542,0,C,medium,n,medium,Miss,young
0.0,3,0,22.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,3,1,20.0,1,0,9.825,0,S,medium,n,medium,Miss,young
0.0,3,1,17.0,0,0,14.4583,1,C,medium,n,single,Miss,young
0.0,3,0,21.0,0,0,7.925,1,S,cheap,n,single,Mr,adult
0.0,3,0,70.0,0,0,7.75,1,Q,cheap,n,single,Mr,elderly
0.0,2,0,29.0,1,0,21.0,0,S,medium,n,medium,Mr,adult
0.0,1,0,24.0,0,1,247.5208,0,C,very_high,B,medium,Mr,adult
0.0,3,1,2.0,4,2,31.275,0,S,high,n,large,Miss,baby
0.0,2,0,21.0,2,0,73.5,0,S,very_high,n,medium,Mr,adult
0.0,3,0,27.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,2,0,32.0,1,0,30.0708,0,C,medium,n,medium,Mr,adult
1.0,2,1,32.0,0,0,13.0,1,S,medium,E,single,Miss,adult
0.0,1,0,54.0,0,1,77.2875,0,S,very_high,D,medium,Mr,elderly
1.0,3,0,12.0,1,0,11.2417,0,C,medium,n,medium,Master,young
0.0,3,0,33.0,0,0,7.75,1,Q,cheap,n,single,Mr,adult
1.0,3,0,24.0,0,0,7.1417,1,S,cheap,n,single,Mr,adult
1.0,3,1,16.0,1,1,22.3583,0,C,medium,F,medium,Miss,young
0.0,3,0,45.0,0,0,6.975,1,S,cheap,n,single,Mr,adult
0.0,3,0,33.0,0,0,7.8958,1,C,cheap,n,single,Mr,adult
0.0,3,0,20.0,0,0,7.05,1,S,cheap,n,single,Mr,young
0.0,3,1,47.0,1,0,14.5,0,S,medium,n,medium,Mrs,adult
1.0,2,1,29.0,1,0,26.0,0,S,medium,n,medium,Mrs,adult
0.0,2,0,25.0,0,0,13.0,1,S,medium,n,single,Mr,adult
0.0,2,0,23.0,0,0,15.0458,1,C,medium,n,single,Mr,adult
1.0,1,1,19.0,0,2,26.2833,0,S,medium,D,medium,Miss,young
0.0,1,0,37.0,1,0,53.1,0,S,high,C,medium,Mr,adult
0.0,3,0,16.0,0,0,9.2167,1,S,medium,n,single,Mr,young
0.0,1,0,24.0,0,0,79.2,1,C,very_high,B,single,Mr,adult
0.0,3,1,16.0,0,2,15.2458,0,C,medium,n,medium,Mrs,young
1.0,3,1,22.0,0,0,7.75,1,S,cheap,n,single,Miss,adult
1.0,3,1,24.0,1,0,15.85,0,S,medium,n,medium,Mrs,adult
0.0,3,0,19.0,0,0,6.75,1,Q,cheap,n,single,Mr,young
0.0,2,0,18.0,0,0,11.5,1,S,medium,n,single,Mr,young
0.0,2,0,19.0,1,1,36.75,0,S,high,n,medium,Mr,young
1.0,3,0,27.0,0,0,7.7958,1,S,cheap,n,single,Mr,adult
0.0,3,1,9.0,2,2,34.375,0,S,high,n,large,Miss,baby
0.0,2,0,36.0,0,2,26.0,0,S,medium,F,medium,Mr,adult
0.0,2,0,42.0,0,0,13.0,1,S,medium,n,single,Rev,adult
0.0,2,0,51.0,0,0,12.525,1,S,medium,n,single,Rev,elderly
1.0,1,1,22.0,1,0,66.6,0,S,high,C,medium,Mrs,adult
0.0,3,0,56.0,0,0,8.05,1,S,medium,n,single,Mr,elderly
0.0,3,0,40.0,0,2,14.5,0,S,medium,n,medium,Mr,adult
0.0,3,0,29.0,0,0,7.3125,1,S,cheap,n,single,Mr,adult
0.0,1,0,51.0,0,1,61.3792,0,C,high,n,medium,Mr,elderly
1.0,3,1,16.0,0,0,7.7333,1,Q,cheap,n,single,Miss,young
0.0,3,0,30.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,3,0,27.0,0,0,8.6625,1,S,medium,n,single,Mr,adult
0.0,3,0,14.0,8,2,69.55,0,S,high,n,large,Master,young
0.0,3,0,44.0,0,1,16.1,0,S,medium,n,medium,Mr,adult
1.0,2,1,40.0,0,0,15.75,1,S,medium,n,single,Mrs,adult
0.0,3,0,26.0,0,0,7.775,1,S,cheap,n,single,Mr,adult
0.0,3,0,17.0,0,0,8.6625,1,S,medium,n,single,Mr,young
0.0,3,0,1.0,4,1,39.6875,0,S,high,n,large,Master,baby
1.0,3,0,9.0,0,2,20.525,0,S,medium,n,medium,Master,baby
1.0,1,1,35.0,0,1,55.0,0,S,high,E,medium,Mrs,adult
0.0,3,1,45.0,1,4,27.9,0,S,medium,n,large,Mrs,adult
0.0,1,0,46.0,0,0,25.925,1,S,medium,n,single,Mr,adult
0.0,3,0,28.0,0,0,56.4958,1,S,high,n,single,Mr,adult
0.0,1,0,61.0,0,0,33.5,1,S,high,B,single,Mr,elderly
0.0,3,0,4.0,4,1,29.125,0,Q,medium,n,large,Master,baby
1.0,3,1,1.0,1,1,11.1333,0,S,medium,n,medium,Miss,baby
0.0,3,0,21.0,0,0,7.925,1,S,cheap,n,single,Mr,adult
0.0,1,0,56.0,0,0,30.6958,1,C,medium,A,single,Mr,elderly
0.0,3,0,18.0,1,1,7.8542,0,S,cheap,n,medium,Mr,young
0.0,3,0,17.0,3,1,25.4667,0,S,medium,n,large,Master,young
0.0,1,1,50.0,0,0,28.7125,1,C,medium,C,single,Miss,adult
0.0,2,0,30.0,0,0,13.0,1,S,medium,n,single,Mr,adult
0.0,3,0,36.0,0,0,0.0,1,S,cheap,n,single,Mr,adult
0.0,3,1,21.0,8,2,69.55,0,S,high,n,large,Miss,adult
0.0,2,0,29.0,0,0,15.05,1,C,medium,n,single,Mr,adult
0.0,3,0,9.0,4,2,31.3875,0,S,high,n,large,Master,baby
1.0,2,0,1.0,2,1,39.0,0,S,high,F,large,Master,baby
1.0,3,1,4.0,0,2,22.025,0,S,medium,n,medium,Miss,baby
0.0,1,0,43.0,0,0,50.0,1,S,high,A,single,Mr,adult
1.0,3,1,32.0,1,0,15.5,0,Q,medium,n,medium,Mrs,adult
1.0,1,0,45.0,0,0,26.55,1,S,medium,n,single,Mr,adult
0.0,3,0,40.0,1,1,15.5,0,Q,medium,n,medium,Mr,adult
0.0,3,0,36.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
1.0,2,1,32.0,0,0,13.0,1,S,medium,n,single,Mrs,adult
0.0,2,0,19.0,0,0,13.0,1,S,medium,n,single,Mr,young
1.0,3,1,19.0,1,0,7.8542,0,S,cheap,n,medium,Miss,young
1.0,2,0,3.0,1,1,26.0,0,S,medium,F,medium,Master,baby
1.0,1,1,44.0,0,0,27.7208,1,C,medium,B,single,Mrs,adult
1.0,1,1,58.0,0,0,146.5208,1,C,very_high,B,single,Miss,elderly
0.0,3,0,33.0,0,0,7.75,1,Q,cheap,n,single,Mr,adult
0.0,3,0,42.0,0,1,8.4042,0,S,medium,n,medium,Mr,adult
1.0,3,1,24.0,0,0,7.75,1,Q,cheap,n,single,Miss,adult
0.0,2,1,24.0,0,0,13.0,1,S,medium,n,single,Miss,adult
0.0,3,0,28.0,0,0,9.5,1,S,medium,n,single,Mr,adult
0.0,3,0,14.0,8,2,69.55,0,S,high,n,large,Mr,young
0.0,3,0,34.0,0,0,6.4958,1,S,cheap,n,single,Mr,adult
0.0,3,0,46.0,0,0,7.225,1,C,cheap,n,single,Mr,adult
1.0,3,0,18.0,0,0,8.05,1,S,medium,n,single,Mr,young
0.0,3,1,2.0,0,1,10.4625,0,S,medium,G,medium,Miss,baby
0.0,3,0,32.0,1,0,15.85,0,S,medium,n,medium,Mr,adult
1.0,3,0,26.0,0,0,18.7875,1,C,medium,n,single,Mr,adult
1.0,3,1,16.0,0,0,7.75,1,Q,cheap,n,single,Miss,young
1.0,1,0,40.0,0,0,31.0,1,C,medium,A,single,Mr,adult
0.0,3,0,24.0,0,0,7.05,1,S,cheap,n,single,Mr,adult
1.0,2,1,35.0,0,0,21.0,1,S,medium,n,single,Miss,adult
0.0,3,0,22.0,0,0,7.25,1,S,cheap,n,single,Mr,adult
0.0,2,0,30.0,0,0,13.0,1,S,medium,n,single,Mr,adult
0.0,3,0,30.0,1,0,7.75,0,Q,cheap,n,medium,Mr,adult
1.0,1,1,31.0,1,0,113.275,0,C,very_high,D,medium,Miss,adult
1.0,3,1,27.0,0,0,7.925,1,S,cheap,n,single,Miss,adult
0.0,2,0,42.0,1,0,27.0,0,S,medium,n,medium,Mr,adult
1.0,1,1,32.0,0,0,76.2917,1,C,very_high,D,single,Miss,adult
0.0,2,0,30.0,0,0,10.5,1,S,medium,n,single,Mr,adult
1.0,3,0,16.0,0,0,8.05,1,S,medium,n,single,Mr,young
0.0,2,0,27.0,0,0,13.0,1,S,medium,n,single,Mr,adult
0.0,3,0,51.0,0,0,8.05,1,S,medium,n,single,Mr,elderly
0.0,3,0,29.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
1.0,1,0,38.0,1,0,90.0,0,S,very_high,C,medium,Mr,adult
0.0,3,0,22.0,0,0,9.35,1,S,medium,n,single,Mr,adult
1.0,2,0,19.0,0,0,10.5,1,S,medium,n,single,Mr,young
0.0,3,0,20.0,0,0,7.25,1,S,cheap,n,single,Mr,young
0.0,2,0,18.0,0,0,13.0,1,S,medium,n,single,Mr,young
0.0,3,1,18.0,3,1,25.4667,0,S,medium,n,large,Miss,young
1.0,1,1,35.0,1,0,83.475,0,S,very_high,C,medium,Mrs,adult
0.0,3,0,29.0,0,0,7.775,1,S,cheap,n,single,Mr,adult
0.0,2,0,59.0,0,0,13.5,1,S,medium,n,single,Mr,elderly
1.0,3,1,5.0,4,2,31.3875,0,S,high,n,large,Miss,baby
0.0,2,0,24.0,0,0,10.5,1,S,medium,n,single,Mr,adult
0.0,3,1,24.0,0,0,7.55,1,S,cheap,n,single,Miss,adult
0.0,2,0,44.0,1,0,26.0,0,S,medium,n,medium,Mr,adult
1.0,2,1,8.0,0,2,26.25,0,S,medium,n,medium,Miss,baby
0.0,2,0,19.0,0,0,10.5,1,S,medium,n,single,Mr,young
0.0,2,0,33.0,0,0,12.275,1,S,medium,n,single,Mr,adult
0.0,3,1,16.0,1,0,14.4542,0,C,medium,n,medium,Miss,young
1.0,3,1,32.0,1,0,15.5,0,Q,medium,n,medium,Miss,adult
0.0,2,0,29.0,0,0,10.5,1,S,medium,n,single,Mr,adult
0.0,3,0,22.0,0,0,7.125,1,S,cheap,n,single,Mr,adult
0.0,3,0,30.0,0,0,7.225,1,C,cheap,n,single,Mr,adult
0.0,1,0,44.0,2,0,90.0,0,Q,very_high,C,medium,Dr,adult
0.0,3,1,25.0,0,0,7.775,1,S,cheap,n,single,Miss,adult
1.0,2,1,24.0,0,2,14.5,0,S,medium,n,medium,Mrs,adult
1.0,1,0,37.0,1,1,52.5542,0,S,high,D,medium,Mr,adult
0.0,2,0,54.0,1,0,26.0,0,S,medium,n,medium,Rev,elderly
0.0,3,0,29.0,0,0,7.25,1,S,cheap,n,single,Mr,adult
0.0,3,1,29.0,1,1,10.4625,0,S,medium,G,medium,Mrs,adult
0.0,1,0,62.0,0,0,26.55,1,S,medium,C,single,Mr,elderly
0.0,3,0,30.0,1,0,16.1,0,S,medium,n,medium,Mr,adult
0.0,3,1,41.0,0,2,20.2125,0,S,medium,n,medium,Mrs,adult
1.0,3,1,29.0,0,2,15.2458,0,C,medium,n,medium,Mrs,adult
1.0,1,1,41.0,0,0,79.2,1,C,very_high,n,single,Mrs,adult
1.0,1,1,30.0,0,0,86.5,1,S,very_high,B,single,Miss,adult
1.0,1,1,35.0,0,0,512.3292,1,C,very_high,n,single,Miss,adult
1.0,2,1,50.0,0,1,26.0,0,S,medium,n,medium,Mrs,adult
0.0,3,0,33.0,0,0,7.75,1,Q,cheap,n,single,Mr,adult
1.0,3,0,3.0,4,2,31.3875,0,S,high,n,large,Master,baby
0.0,1,0,52.0,1,1,79.65,0,S,very_high,E,medium,Mr,elderly
0.0,1,0,40.0,0,0,0.0,1,S,cheap,B,single,Mr,adult
0.0,3,1,24.0,0,0,7.75,1,Q,cheap,n,single,Miss,adult
0.0,2,0,36.0,0,0,10.5,1,S,medium,n,single,Mr,adult
0.0,3,0,16.0,4,1,39.6875,0,S,high,n,large,Mr,young
1.0,3,0,25.0,1,0,7.775,0,S,cheap,n,medium,Mr,adult
1.0,1,1,58.0,0,1,153.4625,0,S,very_high,C,medium,Mrs,elderly
1.0,1,1,35.0,0,0,135.6333,1,S,very_high,C,single,Miss,adult
0.0,1,0,46.0,0,0,31.0,1,S,medium,n,single,Mr,adult
1.0,3,0,25.0,0,0,0.0,1,S,cheap,n,single,Mr,adult
1.0,2,1,41.0,0,1,19.5,0,S,medium,n,medium,Mrs,adult
0.0,1,0,37.0,0,1,29.7,0,C,medium,C,medium,Mr,adult
1.0,3,1,24.0,0,0,7.75,1,Q,cheap,n,single,Miss,adult
1.0,1,1,63.0,1,0,77.9583,0,S,very_high,D,medium,Miss,elderly
0.0,3,1,45.0,0,0,7.75,1,S,cheap,n,single,Miss,adult
0.0,2,0,30.0,0,0,0.0,1,S,cheap,n,single,Mr,adult
0.0,3,0,7.0,4,1,29.125,0,Q,medium,n,large,Master,baby
1.0,3,1,35.0,1,1,20.25,0,S,medium,n,medium,Mrs,adult
0.0,3,0,65.0,0,0,7.75,1,Q,cheap,n,single,Mr,elderly
0.0,3,0,28.0,0,0,7.8542,1,S,cheap,n,single,Mr,adult
0.0,3,0,16.0,0,0,9.5,1,S,medium,n,single,Mr,young
1.0,3,0,19.0,0,0,8.05,1,S,medium,n,single,Mr,young
0.0,1,0,46.0,0,0,26.0,1,S,medium,A,single,Mr,adult
0.0,3,0,33.0,0,0,8.6625,1,C,medium,n,single,Mr,adult
1.0,3,0,30.0,0,0,9.5,1,S,medium,n,single,Mr,adult
0.0,3,0,22.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
1.0,2,0,42.0,0,0,13.0,1,S,medium,n,single,Mr,adult
1.0,3,1,22.0,0,0,7.75,1,Q,cheap,n,single,Miss,adult
1.0,1,1,26.0,0,0,78.85,1,S,very_high,n,single,Miss,adult
1.0,1,1,19.0,1,0,91.0792,0,C,very_high,B,medium,Mrs,young
0.0,2,0,36.0,0,0,12.875,1,C,medium,D,single,Mr,adult
0.0,3,1,24.0,0,0,8.85,1,S,medium,n,single,Miss,adult
0.0,3,0,24.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
0.0,1,0,38.0,0,0,27.7208,1,C,medium,n,single,Mr,adult
0.0,3,0,24.0,0,0,7.2292,1,C,cheap,n,single,Mr,adult
0.0,1,1,2.0,1,2,151.55,0,S,very_high,C,large,Miss,baby
1.0,1,0,46.0,0,0,30.5,1,S,medium,C,single,Mr,adult
1.0,1,1,50.0,0,1,247.5208,0,C,very_high,B,medium,Mrs,adult
1.0,3,1,24.0,0,0,7.75,1,Q,cheap,n,single,Miss,adult
1.0,3,0,40.0,2,0,23.25,0,Q,medium,n,medium,Mr,adult
0.0,3,0,19.0,0,0,0.0,1,S,cheap,n,single,Mr,young
1.0,2,1,30.0,0,0,12.35,1,Q,medium,E,single,Miss,adult
0.0,3,0,27.0,0,0,8.05,1,S,medium,n,single,Mr,adult
1.0,1,0,1.0,1,2,151.55,0,S,very_high,C,large,Master,baby
1.0,1,1,41.0,0,0,110.8833,1,C,very_high,n,single,Miss,adult
1.0,1,1,17.0,1,0,108.9,0,C,very_high,C,medium,Mrs,young
0.0,2,0,30.0,1,0,24.0,0,C,medium,n,medium,Mr,adult
1.0,1,1,30.0,0,0,56.9292,1,C,high,E,single,Miss,adult
1.0,1,1,24.0,0,0,83.1583,1,C,very_high,C,single,Miss,adult
1.0,1,1,18.0,2,2,262.375,0,C,very_high,B,large,Miss,young
0.0,2,1,26.0,1,1,26.0,0,S,medium,n,medium,Mrs,adult
0.0,3,0,28.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
0.0,2,0,43.0,1,1,26.25,0,S,medium,n,medium,Mr,adult
1.0,3,1,26.0,0,0,7.8542,1,S,cheap,n,single,Miss,adult
1.0,2,1,24.0,1,0,26.0,0,S,medium,n,medium,Mrs,adult
0.0,2,0,54.0,0,0,14.0,1,S,medium,n,single,Dr,elderly
1.0,1,1,31.0,0,2,164.8667,0,S,very_high,C,medium,Miss,adult
1.0,1,1,40.0,1,1,134.5,0,C,very_high,E,medium,Mrs,adult
0.0,3,0,22.0,0,0,7.25,1,S,cheap,n,single,Mr,adult
0.0,3,0,27.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
1.0,2,1,30.0,0,0,12.35,1,Q,medium,n,single,Miss,adult
1.0,2,1,22.0,1,1,29.0,0,S,medium,n,medium,Mrs,adult
0.0,3,0,14.0,8,2,69.55,0,S,high,n,large,Mr,young
1.0,1,1,36.0,0,0,135.6333,1,C,very_high,C,single,Miss,adult
0.0,3,0,61.0,0,0,6.2375,1,S,cheap,n,single,Mr,elderly
1.0,2,1,36.0,0,0,13.0,1,S,medium,D,single,Mrs,adult
1.0,3,1,31.0,1,1,20.525,0,S,medium,n,medium,Mrs,adult
1.0,1,1,16.0,0,1,57.9792,0,C,high,B,medium,Miss,young
1.0,3,1,32.0,2,0,23.25,0,Q,medium,n,medium,Miss,adult
0.0,1,0,46.0,0,0,28.5,1,S,medium,C,single,Mr,adult
0.0,1,0,38.0,0,1,153.4625,0,S,very_high,C,medium,Mr,adult
0.0,3,0,16.0,2,0,18.0,0,S,medium,n,medium,Mr,young
1.0,1,1,43.0,1,0,133.65,0,S,very_high,n,medium,Mrs,adult
0.0,3,0,29.0,0,0,7.8958,1,S,cheap,n,single,Mr,adult
0.0,1,0,29.0,1,0,66.6,0,S,high,C,medium,Mr,adult
1.0,1,1,41.0,0,0,134.5,1,C,very_high,E,single,Miss,adult
1.0,3,0,45.0,0,0,8.05,1,S,medium,n,single,Mr,adult
0.0,1,0,45.0,0,0,35.5,1,S,high,T,single,Mr,adult
1.0,2,0,2.0,1,1,26.0,0,S,medium,F,medium,Master,baby
1.0,1,1,24.0,3,2,263.0,0,S,very_high,C,large,Miss,adult
0.0,2,0,28.0,0,0,13.0,1,S,medium,n,single,Mr,adult
0.0,2,0,25.0,0,0,13.0,1,S,medium,n,single,Mr,adult
0.0,2,0,36.0,0,0,13.0,1,S,medium,n,single,Mr,adult
1.0,2,1,24.0,0,0,13.0,1,S,medium,F,single,Miss,adult
1.0,2,1,40.0,0,0,13.0,1,S,medium,n,single,Miss,adult
1.0,3,1,22.0,1,0,16.1,0,S,medium,n,medium,Mrs,adult
1.0,3,0,3.0,1,1,15.9,0,S,medium,n,medium,Master,baby
0.0,3,0,42.0,0,0,8.6625,1,S,medium,n,single,Mr,adult
0.0,3,0,23.0,0,0,9.225,1,S,medium,n,single,Mr,adult
0.0,1,0,43.0,0,0,35.0,1,S,high,C,single,Mr,adult
0.0,3,0,15.0,1,1,7.2292,0,C,cheap,n,medium,Mr,young
0.0,3,0,25.0,1,0,17.8,0,S,medium,n,medium,Mr,adult
0.0,3,0,27.0,0,0,7.225,1,C,cheap,n,single,Mr,adult
